category_id,category_name,parent_category,url
,Terreau,Jardinage,https://www.bricodepot.fr/produits/terrasse-et-jardin/jardinage-et-entretien-du-jardin/jardinage/terreau
,Récupérateur d'eau,Jardinage,https://www.bricodepot.fr/produits/terrasse-et-jardin/jardinage-et-entretien-du-jardin/jardinage/recuperateur-d-eau
,Robinet extérieur,Jardinage,https://www.bricodepot.fr/produits/terrasse-et-jardin/jardinage-et-entretien-du-jardin/jardinage/robinet-exterieur
,"Sapin, arbre et plante",Jardinage,https://www.bricodepot.fr/produits/terrasse-et-jardin/jardinage-et-entretien-du-jardin/jardinage/sapin-arbre-et-plante
,Tondeuse à gazon,Entretien du jardin,https://www.bricodepot.fr/produits/terrasse-et-jardin/jardinage-et-entretien-du-jardin/entretien-du-jardin/tondeuse-a-gazon
,Robot tondeuse,Entretien du jardin,https://www.bricodepot.fr/produits/terrasse-et-jardin/jardinage-et-entretien-du-jardin/entretien-du-jardin/robot-tondeuse
,Taille haie,Entretien du jardin,https://www.bricodepot.fr/produits/terrasse-et-jardin/jardinage-et-entretien-du-jardin/entretien-du-jardin/taille-haie
,Coupe-bordure,Entretien du jardin,https://www.bricodepot.fr/produits/terrasse-et-jardin/jardinage-et-entretien-du-jardin/entretien-du-jardin/coupe-bordure
,Souffleur,Entretien du jardin,https://www.bricodepot.fr/produits/terrasse-et-jardin/jardinage-et-entretien-du-jardin/entretien-du-jardin/souffleur
,Débrouissailleuse,Entretien du jardin,https://www.bricodepot.fr/produits/terrasse-et-jardin/jardinage-et-entretien-du-jardin/entretien-du-jardin/debrouissailleuse
,"Motoculteur, motobineuse, tarière",Entretien du jardin,https://www.bricodepot.fr/produits/terrasse-et-jardin/jardinage-et-entretien-du-jardin/entretien-du-jardin/motoculteur-motobineuse-tariere
,Nettoyeur haute pression,Entretien du jardin,https://www.bricodepot.fr/produits/terrasse-et-jardin/jardinage-et-entretien-du-jardin/entretien-du-jardin/nettoyeur-haute-pression
,Broyeur végétaux,Entretien du jardin,https://www.bricodepot.fr/produits/terrasse-et-jardin/jardinage-et-entretien-du-jardin/entretien-du-jardin/broyeur-vegetaux
